patient_key,peak_type,gap_order,curve_idx,x,y,profile_name,peak_height,peak_prominence,peak_width_half_prominence,peak_width_height,left_ips,right_ips,left_base_idx,right_base_idx,prev_peak_idx,next_peak_idx,distance_to_prev_peak_idx,distance_to_next_peak_idx,left_valley_idx,right_valley_idx,left_valley_value,right_valley_value,valley_to_valley_width,height_above_left_valley,height_above_right_valley,height_above_mean_valleys
N_14,gap,1,27,118.45573,257.159,gap_score_smooth,0.7666546106338501,0.033139586448669434,10.567413163137822,0.7500848174095154,23.18288345796097,33.75029662109879,0,38,,65.0,0.0,38.0,18,38,0.7290980815887451,0.7335150241851807,20,0.03755652904510498,0.033139586448669434,0.03534805774688721
N_14,gap,2,65,115.01217,365.75314,gap_score_smooth,0.9040247797966003,0.09679901599884033,9.578306195672148,0.8556252717971802,60.34606972897064,69.92437592464279,0,76,27.0,94.0,38.0,29.0,51,76,0.7470287680625916,0.80722576379776,25,0.1569960117340088,0.09679901599884033,0.12689751386642456
N_14,gap,3,94,114.6263,448.62762,gap_score_smooth,0.9657961130142212,0.07629096508026123,12.497015529174888,0.9276506304740906,90.07589819889667,102.57291372807155,0,111,65.0,124.0,29.0,30.0,76,111,0.80722576379776,0.88950514793396,35,0.15857034921646118,0.07629096508026123,0.1174306571483612
N_14,gap,4,124,117.63468,534.3598,gap_score_smooth,0.9909927845001221,0.8608980774879456,174.315586582536,0.5605437457561493,5.332449814244358,179.64803639678038,0,239,94.0,148.0,30.0,24.0,111,140,0.88950514793396,0.9441497921943665,29,0.10148763656616211,0.046842992305755615,0.07416531443595886
N_14,gap,5,148,118.54567,602.9456,gap_score_smooth,0.9756320118904114,0.03148221969604492,7.7797656056714,0.9598909020423889,144.00029639352593,151.78006199919733,140,239,124.0,195.0,24.0,47.0,140,184,0.9441497921943665,0.40455347299575806,44,0.03148221969604492,0.5710785388946533,0.3012803792953491
N_14,gap,6,195,122.85776,737.2594,gap_score_smooth,0.7980623245239258,0.3935088515281677,6.218866304189476,0.6013078987598419,191.8860357304611,198.10490203465056,184,239,148.0,214.0,47.0,19.0,187,206,0.40719297528266907,0.29102426767349243,19,0.3908693492412567,0.5070380568504333,0.44895370304584503
N_14,gap,7,214,118.87237,791.55646,gap_score_smooth,0.7148619294166565,0.42383766174316406,7.845603437070139,0.5029430985450745,210.9827636690875,218.82836710615763,206,239,195.0,231.0,19.0,17.0,206,224,0.29102426767349243,0.4700332581996918,18,0.42383766174316406,0.24482867121696472,0.3343331664800644
N_14,gap,8,231,122.93527,840.13806,gap_score_smooth,0.6403264999389648,0.17029324173927307,4.914842199343724,0.5551798790693283,227.9787592280334,232.89360142737712,224,239,214.0,,17.0,0.0,224,239,0.4700332581996918,0.09221374988555908,15,0.17029324173927307,0.5481127500534058,0.3592029958963394
N_15,gap,1,40,123.42575,285.24268,gap_score_smooth,0.8537247776985168,0.060034751892089844,10.886396438002741,0.8237074017524719,32.558809142278825,43.445205580281566,0,50,,71.0,0.0,31.0,31,50,0.8198708891868591,0.793690025806427,19,0.033853888511657715,0.060034751892089844,0.04694432020187378
N_15,gap,2,71,123.86948,392.38077,gap_score_smooth,0.9247453808784485,0.07882481813430786,23.19897204977014,0.8853329718112946,57.743224289664134,80.94219633943428,0,90,40.0,101.0,31.0,30.0,50,90,0.793690025806427,0.8459205627441406,40,0.13105535507202148,0.07882481813430786,0.10494008660316467
